CustomerKey,CustomerCode,ShopName,OwnerName,City,Province,CustomerType,JoinDate,CreditLimit
237,CUST-0237,فروشگاه تویز کیش,سعید محمدی,کیش,هرمزگان,خاص,1403/10/15,147578457
241,CUST-0241,شادی سرگرمی رشت,فرشاد حسینی,رشت,گیلان,خاص,1404/05/23,470824706
242,CUST-0242,فروشگاه بازی سنندج,جواد عباسی,سنندج,کردستان,خرده‌فروش,1403/02/13,477425002
243,CUST-0243,فانتزی اسباب‌بازی مشهد,جواد موسوی,مشهد,خراسان رضوی,خرده‌فروش,1404/08/08,458283551
246,CUST-0246,فروشگاه کودک زنجان,سعید قاسمی,زنجان,زنجان,خاص,1404/02/14,464876095
249,CUST-0249,بچه‌ها تویز زاهدان,فرشاد رحیمی,زاهدان,سیستان و بلوچستان,عمده‌فروش,1404/10/19,482173788
251,CUST-0251,فروشگاه کودک کرمان,مصطفی هاشمی,کرمان,کرمان,خرده‌فروش,1404/05/16,154279957
253,CUST-0253,مرکز بازی قزوین,محمد صادقی,قزوین,قزوین,خاص,1404/03/25,427056969
254,CUST-0254,تویز سرگرمی بوشهر,علی موسوی,بوشهر,بوشهر,عمده‌فروش,1404/05/30,165291782
262,CUST-0262,بچه‌ها اسباب‌بازی کرج,امیر محمدی,کرج,البرز,خاص,1404/07/20,495126386
265,CUST-0265,شادی کودک بوشهر,ناصر عباسی,بوشهر,بوشهر,خرده‌فروش,1403/03/25,439912805
273,CUST-0273,فانتزی کودک گرگان,حمید حسینی,گرگان,گلستان,خرده‌فروش,1403/11/11,434865436
274,CUST-0274,بچه‌ها پخش اسباب‌بازی زاهدان,ناصر صادقی,زاهدان,سیستان و بلوچستان,خرده‌فروش,1404/04/14,457487870
305,CUST-0305,تویز پخش اسباب‌بازی زنجان,مصطفی احمدی,زنجان,زنجان,خاص,1403/03/15,365784753
314,CUST-0314,پخش اسباب‌بازی قشم,حسین رحیمی,قشم,هرمزگان,خرده‌فروش,1403/03/14,481697723
322,CUST-0322,فانتزی پخش اسباب‌بازی شهرکرد,حمید موسوی,شهرکرد,چهارمحال و بختیاری,خاص,1403/05/08,360152002
337,CUST-0337,پخش کودک اردبیل,جواد موسوی,اردبیل,اردبیل,خاص,1404/08/10,429175686
339,CUST-0339,فانتزی اسباب‌بازی بوشهر,محمد جعفری,بوشهر,بوشهر,خرده‌فروش,1404/05/28,242345176
365,CUST-0365,تویز اسباب‌بازی کرمان,مهدی عباسی,کرمان,کرمان,خرده‌فروش,1403/03/19,471317756
367,CUST-0367,کلبه پخش اسباب‌بازی ساری,مهدی رضایی,ساری,مازندران,خاص,1403/04/19,480983376
368,CUST-0368,پخش اسباب‌بازی بندرعباس,اکبر شریفی,بندرعباس,هرمزگان,عمده‌فروش,1404/06/23,453621814
386,CUST-0386,پخش کودک کرمانشاه,مجید رضایی,کرمانشاه,کرمانشاه,خاص,1404/04/07,403705655
390,CUST-0390,کلبه سرگرمی کرج,رضا قاسمی,کرج,البرز,عمده‌فروش,1404/06/29,405349022
391,CUST-0391,بچه‌ها سرگرمی ارومیه,مجید محمدی,ارومیه,آذربایجان غربی,عمده‌فروش,1404/11/25,495347519
394,CUST-0394,تویز پخش اسباب‌بازی سمنان,علی جعفری,سمنان,سمنان,عمده‌فروش,1403/09/15,390442350
396,CUST-0396,کلبه اسباب‌بازی شیراز,بهرام شریفی,شیراز,فارس,خرده‌فروش,1403/03/09,466071089
402,CUST-0402,پخش کودک بیرجند,مجید موسوی,بیرجند,خراسان جنوبی,خرده‌فروش,1403/06/04,452250924
403,CUST-0403,فروشگاه اسباب‌بازی زاهدان,مصطفی هاشمی,زاهدان,سیستان و بلوچستان,خاص,1404/03/02,257573662
412,CUST-0412,شادی کودک بوشهر,مصطفی نوری,بوشهر,بوشهر,عمده‌فروش,1404/04/26,475530363
415,CUST-0415,پخش تویز اراک,اکبر محمدی,اراک,مرکزی,خرده‌فروش,1404/04/02,319600233
422,CUST-0422,فانتزی بازی کیش,محمد میرزایی,کیش,هرمزگان,خرده‌فروش,1404/04/22,396912889
436,CUST-0436,پخش کودک کرمان,ناصر نوری,کرمان,کرمان,خرده‌فروش,1403/09/13,353474874
439,CUST-0439,فروشگاه بازی اصفهان,سعید جعفری,اصفهان,اصفهان,خرده‌فروش,1404/07/14,356058691
442,CUST-0442,دنیای بازی همدان,مهدی احمدی,همدان,همدان,خاص,1403/03/15,493453393
447,CUST-0447,بازار اسباب‌بازی سنندج,سعید حسینی,سنندج,کردستان,خرده‌فروش,1403/03/16,493140521
454,CUST-0454,فانتزی سرگرمی زنجان,حمید نوری,زنجان,زنجان,عمده‌فروش,1404/02/21,454113648
462,CUST-0462,دنیای بازی خرم‌آباد,مصطفی رحیمی,خرم‌آباد,لرستان,خرده‌فروش,1403/12/02,328113048
468,CUST-0468,شادی پخش اسباب‌بازی شیراز,مجید رضایی,شیراز,فارس,خرده‌فروش,1404/10/07,435613572
470,CUST-0470,فانتزی سرگرمی شیراز,مجید قاسمی,شیراز,فارس,خاص,1404/02/14,481979044
472,CUST-0472,فروشگاه کودک تبریز,اکبر هاشمی,تبریز,آذربایجان شرقی,عمده‌فروش,1403/12/28,485240625
474,CUST-0474,فروشگاه اسباب‌بازی زنجان,محمد کریمی,زنجان,زنجان,خاص,1403/08/12,446660125
476,CUST-0476,مرکز تویز کیش,علی صادقی,کیش,هرمزگان,خرده‌فروش,1403/04/15,496552750
479,CUST-0479,فانتزی اسباب‌بازی سنندج,مجید عباسی,سنندج,کردستان,خرده‌فروش,1404/04/05,484958242
480,CUST-0480,تویز اسباب‌بازی شیراز,مصطفی عباسی,شیراز,فارس,عمده‌فروش,1403/04/25,266317943
489,CUST-0489,دنیای اسباب‌بازی بجنورد,امیر موسوی,بجنورد,خراسان شمالی,خاص,1404/04/10,475701627
499,CUST-0499,تویز کودک اصفهان,حمید کریمی,اصفهان,اصفهان,خرده‌فروش,1403/06/18,487453455
500,CUST-0500,کلبه سرگرمی قشم,محمد قاسمی,قشم,هرمزگان,خرده‌فروش,1403/04/24,493243264
507,CUST-0507,بچه‌ها پخش اسباب‌بازی ارومیه,مهدی کریمی,ارومیه,آذربایجان غربی,خرده‌فروش,1404/08/05,456354320
508,CUST-0508,فروشگاه کودک کیش,مصطفی میرزایی,کیش,هرمزگان,عمده‌فروش,1404/02/25,413043249
513,CUST-0513,بچه‌ها سرگرمی قشم,علی رحیمی,قشم,هرمزگان,خاص,1403/04/03,467036956
514,CUST-0514,بچه‌ها اسباب‌بازی سمنان,مصطفی نوری,سمنان,سمنان,عمده‌فروش,1404/02/11,434371305
519,CUST-0519,تویز کودک رشت,جواد شریفی,رشت,گیلان,عمده‌فروش,1403/10/05,493765303
523,CUST-0523,کلبه پخش اسباب‌بازی کرمانشاه,مجید احمدی,کرمانشاه,کرمانشاه,خاص,1403/01/09,485258054
524,CUST-0524,فروشگاه بازی خرم‌آباد,فرشاد رضایی,خرم‌آباد,لرستان,عمده‌فروش,1404/04/31,422638272
526,CUST-0526,بچه‌ها تویز قزوین,حسین جعفری,قزوین,قزوین,خاص,1403/05/13,239659648
527,CUST-0527,فروشگاه سرگرمی کرمان,ناصر احمدی,کرمان,کرمان,خاص,1404/09/13,213261556
530,CUST-0530,مرکز اسباب‌بازی قم,ناصر عباسی,قم,قم,خرده‌فروش,1404/01/28,433713964
532,CUST-0532,کلبه سرگرمی بندرعباس,ناصر عباسی,بندرعباس,هرمزگان,خرده‌فروش,1404/09/11,499861659
533,CUST-0533,تویز کودک مشهد,حمید قاسمی,مشهد,خراسان رضوی,عمده‌فروش,1404/06/01,498352050
536,CUST-0536,بچه‌ها تویز تهران,حسین جعفری,تهران,تهران,خرده‌فروش,1404/08/01,472935207
552,CUST-0552,پخش پخش اسباب‌بازی اهواز,حمید احمدی,اهواز,خوزستان,عمده‌فروش,1403/02/15,427568935
555,CUST-0555,پخش بازی قزوین,بهرام عباسی,قزوین,قزوین,خرده‌فروش,1403/11/22,439560265
565,CUST-0565,بچه‌ها بازی اردبیل,فرشاد محمدی,اردبیل,اردبیل,عمده‌فروش,1404/08/13,181787903
574,CUST-0574,پخش تویز تبریز,سعید نوری,تبریز,آذربایجان شرقی,خاص,1403/02/20,314822483
576,CUST-0576,فروشگاه بازی بندرعباس,محمد میرزایی,بندرعباس,هرمزگان,عمده‌فروش,1403/05/20,475265105
578,CUST-0578,دنیای سرگرمی تبریز,مهدی شریفی,تبریز,آذربایجان شرقی,عمده‌فروش,1403/03/15,464027936
579,CUST-0579,پخش پخش اسباب‌بازی شیراز,مجید میرزایی,شیراز,فارس,عمده‌فروش,1403/05/08,251136983
582,CUST-0582,بچه‌ها کودک یزد,بهرام رضایی,یزد,یزد,خرده‌فروش,1403/10/06,490215961
595,CUST-0595,پخش سرگرمی کرج,رضا احمدی,کرج,البرز,خرده‌فروش,1404/06/19,449426320
